City,Latitude,Longitute,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Aklavik,68.2191,-135.0107,285.15,87,75,0.0,CA,1627309359
Qaanaaq,77.484,-69.3632,279.21,56,86,3.88,GL,1627309359
Dingle,10.9995,122.6711,299.34,85,100,4.52,PH,1627309359
Nerchinskiy Zavod,51.3088,119.61,287.39,94,8,2.71,RU,1627309360
Grand Gaube,-20.0064,57.6608,293.37,76,2,2.68,MU,1627309360
Gornopravdinsk,60.05,69.9,288.91,56,100,3.69,RU,1627309329
Ürümqi,43.801,87.6005,304.68,19,0,3.0,CN,1627309361
George Town,5.4112,100.3354,303.12,76,20,1.03,MY,1627309362
Arraial do Cabo,-22.9661,-42.0278,300.13,44,0,6.69,BR,1627309315
Cap Malheureux,-19.9842,57.6142,293.42,76,1,2.68,MU,1627309362
Chokurdakh,70.6333,147.9167,275.2,87,82,5.22,RU,1627309362
Jardim,-21.4803,-56.1381,302.49,27,8,5.27,BR,1627309362
Busselton,-33.65,115.3333,286.53,74,90,13.44,AU,1627309363
Sinnamary,5.3833,-52.95,301.76,70,44,2.79,GF,1627309363
Upernavik,72.7868,-56.1549,280.56,63,100,3.87,GL,1627309363
São Filipe,14.8961,-24.4956,297.51,73,83,1.65,CV,1627309320
Punta Arenas,-53.15,-70.9167,277.21,81,0,7.72,CL,1627309364
Kualakapuas,-3.0091,114.3876,298.24,87,0,1.58,ID,1627309364
Lompoc,34.6391,-120.4579,289.58,93,90,2.06,US,1627309237
São João da Barra,-21.6403,-41.0511,299.2,60,0,5.24,BR,1627309364
Albany,42.6001,-73.9662,299.16,79,0,3.53,US,1627309133
Kaeo,-35.1,173.7833,283.89,89,5,4.72,NZ,1627309365
Barrow,71.2906,-156.7887,277.16,99,90,4.12,US,1627309364
Constantine,36.365,6.6147,312.82,12,40,5.14,DZ,1627309366
Katsuura,35.1333,140.3,300.43,68,100,7.97,JP,1627309367
Rikitea,-23.1203,-134.9692,295.9,76,22,6.51,PF,1627309209
Bengkulu,-3.8004,102.2655,298.19,73,56,2.12,ID,1627309189
Bluff,-46.6,168.3333,281.37,75,99,5.83,NZ,1627309332
Geraldton,-28.7667,114.6,291.38,88,75,7.72,AU,1627309368
Carnarvon,-24.8667,113.6333,294.19,85,90,6.17,AU,1627309305
Hasaki,35.7333,140.8333,296.37,88,100,13.43,JP,1627309369
Hilo,19.7297,-155.09,296.27,98,90,1.54,US,1627309303
Sabana de Torres,7.3915,-73.4957,302.49,79,63,1.83,CO,1627309371
Virginia Beach,36.8529,-75.978,303.19,70,40,5.66,US,1627309325
Kapaa,22.0752,-159.319,299.33,84,20,5.14,US,1627309372
Vaini,-21.2,-175.2,297.12,80,59,1.58,TO,1627309372
Chui,-33.6971,-53.4616,285.72,81,100,4.46,UY,1627309373
Progreso,21.2833,-89.6667,302.21,79,38,2.09,MX,1627309374
Mt. Pleasant,32.7941,-79.8626,303.25,89,75,0.89,US,1627309375
New Norfolk,-42.7826,147.0587,286.8,67,95,1.79,AU,1627309376
Ponta do Sol,32.6667,-17.1,301.49,74,28,0.52,PT,1627309377
Gwadar,25.1216,62.3254,301.69,84,96,5.36,PK,1627309378
Nikolskoye,59.7035,30.7861,301.09,33,41,2.67,RU,1627309378
Thompson,55.7435,-97.8558,287.24,58,20,1.54,CA,1627309139
Manokwari,-0.8667,134.0833,299.53,74,74,0.63,ID,1627309379
Guatire,10.4762,-66.5427,302.71,70,100,1.74,VE,1627309381
Jamestown,42.097,-79.2353,299.36,73,1,3.6,US,1627309338
Saint Anthony,45.0205,-93.218,300.88,66,1,0.45,US,1627309309
Ipixuna,-1.7625,-48.8043,304.12,47,97,0.52,BR,1627309381
Ushuaia,-54.8,-68.3,272.96,100,90,2.57,AR,1627309330
Port Elizabeth,-33.918,25.5701,295.98,28,100,5.63,ZA,1627309333
